+------+------------+--------------------------------------------------------------+-------------+---------------+
| S.NO |    DATE    | DESCRIPTION                                                  |      AMOUNT | NOTES         |
+------+------------+--------------------------------------------------------------+-------------+---------------+
|  01  |  12-12-12  | d1                                                           |         1.0 | n1            |
|  02  | 07/08/2009 | Parking fee                                                  |        12.0 | Downtown      |
|  03  | 12/31/2025 | Invalid date corrected                                       |         0.0 |               |
|  04  | 01/01/2025 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |         0.0 |               |
|  05  | 03/15/2025 | Books                                                        |        50.0 |               |
|  06  | 02/03/2004 | ef                                                           |         5.0 |               |
|  07  | 05/25/2025 | Refund                                                       |       -35.5 |               |
|  08  | 02/29/2024 | Special event                                                |         0.0 | Leap day      |
|  09  | 08/15/1975 | Vintage purchase                                             |       45.99 | 1970s item    |
|  10  | 12/25/2025 | Café visit                                                   |       15.75 | Holiday treat |
|  11  | 03/04/2005 | evge                                                         |       123.0 | 342           |
|  12  | 01/02/2003 | fvge                                                         |         5.0 | 3rfg          |
|  13  | 12/23/2034 | gvet                                                         |       435.0 | t53tgv        |
|  14  | 12/23/2034 | vev                                                          |      3456.0 | nhszf         |
|  15  | 12/23/2034 | now it begins                                                |     12345.0 | and so,       |
|  16  | 01/01/2001 | trial                                                        |     72147.0 | trial notes   |
|  17  | 12/12/2012 | trial desc 2                                                 | 987654321.0 | trial notes 2 |
|  18  | 02/02/2002 | 2 2 2                                                        |         2.0 | 2 2 2         |
|  19  | 01/02/2003 | 3                                                            |         3.0 | 3             |
+------+------------+--------------------------------------------------------------+-------------+---------------+
