+------+------------+----------------------------+----------+----------------+-----------+--------------------------+
| S.NO |    DATE    | DESCRIPTION                |   AMOUNT | PAYMENT METHOD |   STATUS  | NOTES                    |
+------+------------+----------------------------+----------+----------------+-----------+--------------------------+
|  01  | 28/06/2025 | Groceries at SuperMart     |    45.75 |   Debit Card   | Completed | Weekly shopping          |
|  02  | 28/06/2025 | Bookstore purchase         |    32.99 |  Credit Card   | Completed | Educational              |
|  03  | 29/06/2025 | Restaurant dinner          |     60.5 |  Credit Card   | Completed | Anniversary celebration  |
|  04  | 29/06/2025 | Refund for shoes           |    -35.0 |     Refund     | Completed | Returned item            |
|  05  | 30/06/2025 | Monthly gym fee            |     30.0 |   Auto Debit   | Completed | Subscription             |
|  06  | 30/06/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  07  | 01/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  08  | 01/07/2025 | Alice - Lunch              |     12.5 |      Cash      | Completed | Workday lunch            |
|  09  | 02/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  10  | 02/07/2025 | Online course fee          |   199.99 |  Credit Card   | Completed | Professional development |
|  11  | 03/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  12  | 03/07/2025 | Electronics purchase       |   1200.0 |  Credit Card   | Completed | New laptop               |
|  13  | 04/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  14  | 04/07/2025 | Refund for laptop          |  -1200.0 |     Refund     | Completed | Defective product        |
|  15  | 05/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  16  | 05/07/2025 | Hotel booking              |    350.0 |  Credit Card   | Completed | Weekend getaway          |
|  17  | 06/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  18  | 06/07/2025 | Conference tickets         |    500.0 |  Credit Card   | Completed | Tech conference          |
|  19  | 07/07/2025 | Alice - Coffee @ Starbucks |     5.25 |      Cash      | Completed | Morning coffee           |
|  20  | 07/07/2025 | Bonus income               |   1000.0 | Bank Transfer  | Completed | Work bonus               |
|  21  | 12/23/2034 | jynhtbgrvfe                |  12321.0 |      upi       | Cancelled | ujynhtbgrvfe             |
|  22  | 12/12/2013 | jn5hb4gvf                  |   6543.0 |      upi       | Cancelled | jhtbgrvfe                |
|  23  | 12/13/2014 | mjnhtbgf                   | 876543.0 |     debit      |   Failed  | umyjnhtgrtfer            |
|  24  | 12/12/2012 | frgth                      |    423.0 |    efwrgthy    | Completed | -                        |
|  25  | 12/13/2014 | tbver                      |    123.0 |      upi       | Cancelled | gtever                   |
|  26  | 12/13/2014 | gerqgv                     |   9745.0 |      upi       |   Failed  | fbqrhbgq                 |
|  27  | 12/23/2024 | dtrfygh                    |   4567.0 |      cash      |  Pending  | ryftguh                  |
+------+------------+----------------------------+----------+----------------+-----------+--------------------------+
